City,Tags,State,Old_age,Young_age,link 1,Avg Expense Per Day,historical & heritage,city,pilgrimage,hill station,beach,lake & backwater,adventure / trekking,wildlife,waterfall,nature & scenic,Image Link
Mysore,Historical & Heritage |  City,Karnataka,1,0,https://www.holidify.com/places/mysore/,1645,1,1,0,0,0,0,0,0,0,0,https://lp-cms-production.imgix.net/2019-06/5419167.jpg
Rishikesh,Pilgrimage |  Adventure / Trekking,Uttarakhand,1,1,https://www.holidify.com/places/rishikesh/,2412,0,0,1,0,0,0,1,0,0,0,https://www.euttaranchal.com/tourism/photos/rishikesh-3715497.jpg
Puri,Beach |  Pilgrimage,Odisha,1,1,https://www.holidify.com/places/puri/,2115,0,0,1,0,1,0,0,0,0,0,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202006/Lord_Jagannath_Yatra_pti_file-.jpeg?Q77N_cK8qz1xikNgdPYL0LVbQylv.D4T&size=770:433
Mumbai,Historical & Heritage |  City,Maharashtra,1,1,https://www.holidify.com/places/mumbai/,3675,1,1,0,0,0,0,0,0,0,0,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202012/mumbai_pune_maharashtra_shutdo_1200x768.jpeg?YBSdfbrsZWhfCObmyFBbW3_JBw3_d_g4&size=770:433
Hampi,Historical & Heritage,Karnataka,1,0,https://www.holidify.com/places/hampi/,1611,1,0,0,0,0,0,0,0,0,0,https://www.deccanherald.com/sites/dh/files/styles/article_detail/public/article_images/2019/11/13/Hampi-DH-1573602601.jpg?itok=hl7thlfL
Kumarakom,Lake & Backwater,Kerala,0,1,https://www.holidify.com/places/kumarakom/,2412,0,0,0,0,0,1,0,0,0,0,https://s3.india.com/travel/wp-content/uploads/2017/01/kumarakom-625x470.jpg
Madurai,Historical & Heritage |  Pilgrimage |  City,Tamil Nadu,1,0,https://www.holidify.com/places/madurai/,1897,1,1,1,0,0,0,0,0,0,0,https://www.fabhotels.com/blog/wp-content/uploads/2019/03/3Thirupparankundram-Murugan-Temple-Madurai.jpg
Coorg,Hill Station,Karnataka,0,1,https://www.holidify.com/places/coorg/,4125,0,0,0,1,0,0,0,0,0,0,"https://res.cloudinary.com/simplotel/image/upload/x_28,y_8,w_1265,h_710,r_0,c_crop,q_80,fl_progressive/w_1100,f_auto,c_fit/stay-simple-resorts/Barapole_river_rafting_coorg_k4a1vj"
Udaipur,Historical & Heritage,Rajasthan,1,0,https://www.holidify.com/places/udaipur/,4169,1,0,0,0,0,0,0,0,0,0,https://www.travelogyindia.com/blog/wp-content/uploads/2019/05/City-Palace-Udaipur.jpg
Kanchipuram,Historical & Heritage |  Pilgrimage,Tamil Nadu,1,0,https://www.holidify.com/places/kanchipuram/,2552,1,0,1,0,0,0,0,0,0,0,https://cdn1.goibibo.com/voy_ing/t_fs/kanchipuram-ekambaranatha-temple-149359504409o.jpeg
Jim Corbett National Park,Wildlife,Uttarakhand,1,1,https://www.holidify.com/places/corbett-national-park/,5368,0,0,0,0,0,0,0,1,0,0,"https://media.wired.com/photos/5e8f7e57798a15000821fec1/4:3/w_2043,h_1532,c_limit/Science_bronxtiger_893408608.jpg"
Mussoorie,Hill Station,Uttarakhand,0,1,https://www.holidify.com/places/mussoorie/,4830,0,0,0,1,0,0,0,0,0,0,https://cf.bstatic.com/images/hotel/max1024x768/268/268735409.jpg
Hyderabad,Historical & Heritage |  City,Telangana,1,0,https://www.holidify.com/places/hyderabad/,3059,1,1,0,0,0,0,0,0,0,0,https://cw-gbl-gws-prod.azureedge.net/-/media/cw/apac/india/offices/hyderabad-storycard.jpg?rev=b10d8e5e237245c3ae95d6b5405ff505
Mahabaleshwar,Hill Station,Maharashtra,0,1,https://www.holidify.com/places/mahabaleshwar/,3095,0,0,0,1,0,0,0,0,0,0,https://www.fabhotels.com/blog/wp-content/uploads/2019/03/Pratapgarh-Fort.jpg
Kovalam,Beach,Kerala,0,1,https://www.holidify.com/places/kovalam/,2818,0,0,0,0,1,0,0,0,0,0,https://k6u8v6y8.stackpathcdn.com/blog/wp-content/uploads/2017/02/Kovalam-Tourist-Attractions.jpg
Jodhpur,Historical & Heritage,Rajasthan,1,0,https://www.holidify.com/places/jodhpur/,2866,1,0,0,0,0,0,0,0,0,0,https://www.holidify.com/images/bgImages/JODHPUR.jpg
Ahmedabad,Historical & Heritage |  City,Gujarat,1,0,https://www.holidify.com/places/ahmedabad/,2358,1,1,0,0,0,0,0,0,0,0,https://akm-img-a-in.tosshub.com/sites/btmt/images/stories/motera_stadium_660_240221014741.jpg
Kodaikanal,Hill Station,Tamil Nadu,0,1,https://www.holidify.com/places/kodaikanal/,3508,0,0,0,1,0,0,0,0,0,0,https://www.makemytrip.com/travel-guide/media/dg_image/kodaikanal/Pillar-Rocks-Kodaikanal.jpg
Thekkady,Hill Station |  Wildlife |  Lake & Backwater,Kerala,0,1,https://www.holidify.com/places/thekkady/,2708,0,0,0,1,0,1,0,1,0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/6b/09/70/thekkady.jpg?w=1000&h=600&s=1
Ellora Caves,Historical & Heritage,Maharashtra,1,0,https://www.holidify.com/places/ajanta-and-ellora-caves/,956,1,0,0,0,0,0,0,0,0,0,https://jonistravelling.com/wp-content/uploads/2018/11/day-trip-ellora-caves-aurangabad-india-750x500.jpg
Khajuraho,Historical & Heritage |  Pilgrimage,Madhya Pradesh,1,0,https://www.holidify.com/places/khajuraho/,1138,1,0,1,0,0,0,0,0,0,0,https://lp-cms-production.imgix.net/2019-06/1db191eeeac9140ca983de53cf26334d356ed973f0b2db39f714e82c71a4d38d.jpg?auto=format&fit=crop&ixlib=react-8.6.4&h=520&w=1312
Kaziranga National Park,Wildlife,Assam,1,1,https://www.holidify.com/places/kaziranga-national-park/,2655,0,0,0,0,0,0,0,1,0,0,https://www.tourmyindia.com/socialimg/kaziranga-national-park.jpg
